station	longitude	latitude	elevation(m)	unit	component	response
IG.CCIG..HH	-92.136	16.281	1625.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.CMIG..HH	-94.883	17.091	75.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.HLIG..HH	-97.803	17.830	1773.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.HUIG..HH	-96.108	15.769	102.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.OXIG..HH	-96.733	17.072	1712.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.PCIG..HH	-93.218	15.704	69.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.PEIG..HH	-97.147	15.998	332.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.PNIG..HH	-98.127	16.392	237.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.TGIG..HH	-93.122	16.778	608.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.THIG..HH	-92.295	14.882	117.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.TLIG..HH	-98.566	17.562	1109.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.TOIG..HH	-97.064	18.095	1011.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.TUIG..HH	-94.422	18.033	17.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.TXIG..HH	-97.761	17.254	2314.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
IG.YOIG..HH	-97.545	16.857	2274.000	m/s	E,N,Z	970660800.00000, 970660800.00000, 970660800.00000
ZB.B01..HH	-92.216	14.559	10.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B02..HH	-92.694	15.283	29.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B03..HH	-92.891	15.441	53.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B04..HH	-92.216	15.559	2212.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B05..HH	-93.784	16.078	31.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B06..HH	-94.194	16.291	22.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B07..HH	-93.642	16.662	531.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B08..HH	-95.201	16.221	20.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B09..HH	-95.809	15.909	26.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.B10..HH	-93.271	16.224	567.000	m/s	E,N,Z	1507118400.00000, 1507118400.00000, 1507118400.00000
ZB.A01..HH	-95.015	16.444	28.000	m/s	E,N,Z	1504872000.00000, 1504872000.00000, 1504872000.00000
ZB.A03..HH	-94.480	16.358	17.000	m/s	E,N,Z	1504872000.00000, 1504872000.00000, 1504872000.00000
ZB.A04..HH	-93.912	16.247	69.000	m/s	E,N,Z	1504872000.00000, 1504872000.00000, 1504872000.00000
